si.no,libraryurl,docount,ow.rule.entitybanks,ow.rule.exactname,ow.rule.graphlinkmerger,ow.rule.reit_price,ow.rule.reit_sqfeet,ow.rule.last_updated,ow.rule.entitylist,ow.rule.entitymed,ow.rule.entityreits
21,http://dev.openwaternet.com/libraries/device_space2,140,0,169,17,0,0,32,424,568,0
22,http://dev.openwaternet.com/libraries/american_medical_association_news_feed,20,0,26,2,0,0,3,60,81,0
23,http://dev.openwaternet.com/libraries/drugwatch_com,20,0,19,2,0,0,5,78,83,0
24,http://dev.openwaternet.com/libraries/ap_healthcare_rss_feed,20,0,14,2,0,0,1,46,60,0
25,http://dev.openwaternet.com/libraries/european_journal_of_cancer,40,0,48,5,0,0,8,134,189,0
26,http://dev.openwaternet.com/libraries/ashp,500,0,689,0,0,0,150,2002,2334,0
27,http://dev.openwaternet.com/libraries/gastroenterology_and_endoscopy_news,40,0,48,57,0,0,6,121,161,0
28,http://dev.openwaternet.com/libraries/haemonetics_corp,20,0,24,5,0,0,11,74,105,0
29,http://dev.openwaternet.com/libraries/bio_org,40,0,42,4,0,0,5,103,0,0
30,http://dev.openwaternet.com/libraries/harvard_school_of_public_health,20,0,19,2,0,0,3,50,72,0
31,http://dev.openwaternet.com/libraries/cadence_website,20,0,20,1,0,0,3,54,0,0
32,http://dev.openwaternet.com/libraries/health_canada,60,0,80,32,0,0,33,266,745,0
33,http://dev.openwaternet.com/libraries/centers_for_medical_care_and_medicade_services,20,0,28,2,0,0,3,59,81,0
34,http://dev.openwaternet.com/libraries/hill_rom,20,0,32,8,0,0,3,57,73,0
35,http://dev.openwaternet.com/libraries/device_space,140,0,192,21,0,0,110,487,0,0
36,http://dev.openwaternet.com/libraries/joint_commission,80,0,111,12,0,0,26,274,365,0
37,http://dev.openwaternet.com/libraries/elan_drug_technologies,20,0,20,2,0,0,4,61,0,0
38,http://dev.openwaternet.com/libraries/endo_pharma,20,0,23,2,0,0,12,88,0,0
39,http://dev.openwaternet.com/libraries/journal_of_american_medical_association,60,0,83,6,0,0,23,236,328,0
40,http://dev.openwaternet.com/libraries/eu_pending_decisions,100,0,146,12,0,0,58,421,0,0
41,http://dev.openwaternet.com/libraries/journal_of_clinical_microbology,80,0,121,9,0,0,15,271,363,0
42,http://dev.openwaternet.com/libraries/kansas_city_business_journal,20,0,29,3,0,0,2,68,81,0
43,http://dev.openwaternet.com/libraries/k_state_college_of_vet_medicine,20,0,33,5,0,0,7,84,101,0
44,http://dev.openwaternet.com/libraries/law_360_com,40,0,59,4,0,0,4,118,157,0
45,http://dev.openwaternet.com/libraries/europace_journal,120,0,178,20,0,0,13,357,499,0
46,http://dev.openwaternet.com/libraries/mass_device,20,0,30,2,0,0,2,60,82,0
47,http://dev.openwaternet.com/libraries/european_institute_blogs,20,0,21,1,0,0,3,60,0,0
48,http://dev.openwaternet.com/libraries/med_device_twitter_account,100,0,155,16,0,0,29,398,489,0
49,http://dev.openwaternet.com/libraries/european_medicines_agency,180,0,321,34,0,0,147,905,0,0
50,http://dev.openwaternet.com/libraries/european_patent_office,20,0,23,2,0,0,2,50,70,0
51,http://dev.openwaternet.com/libraries/eye_on_fda,20,0,20,2,0,0,2,50,0,0
52,http://dev.openwaternet.com/libraries/ncbi_pub_med,20,0,16,1,0,0,1,44,56,0
53,http://dev.openwaternet.com/libraries/olympus_safety_alertsand_positiong_statemen,40,0,58,6,0,0,12,138,185,0
54,http://dev.openwaternet.com/libraries/fda_law_blog,20,0,22,2,0,0,3,61,0,0
55,http://dev.openwaternet.com/libraries/fda_press_releases,20,0,33,3,0,0,3,71,230,0
56,http://dev.openwaternet.com/libraries/pcta,60,0,93,8,0,0,11,194,260,0
57,http://dev.openwaternet.com/libraries/federal_register,20,0,46,3,0,0,47,211,0,0
58,http://dev.openwaternet.com/libraries/pharmacy_times,160,0,259,20,0,0,28,550,728,0
59,http://dev.openwaternet.com/libraries/fierce_pharma_manufacturing,20,0,24,12,0,0,3,51,73,0
60,http://dev.openwaternet.com/libraries/quidel_corporation,20,0,0,16,0,0,4,60,83,0
61,http://dev.openwaternet.com/libraries/forbes_healthcare_rss_feed,40,0,58,35,0,0,6,148,201,0
62,http://dev.openwaternet.com/libraries/hhs_newsroom,20,0,23,1,0,0,3,52,0,0
63,http://dev.openwaternet.com/libraries/science_daily_personalized_medicine,60,0,102,6,0,0,12,216,282,0
64,http://dev.openwaternet.com/libraries/independent_ie_health,40,0,49,4,0,0,6,112,0,0
65,http://dev.openwaternet.com/libraries/steris_corporation,20,0,0,2,0,0,5,62,86,0
66,http://dev.openwaternet.com/libraries/synergy_pharma,20,0,35,17,0,0,13,93,97,0
67,http://dev.openwaternet.com/libraries/irish_times,80,0,126,7,0,0,23,299,0,0
68,http://dev.openwaternet.com/libraries/translational_medicine,20,0,25,1,0,0,9,74,99,0
69,http://dev.openwaternet.com/libraries/world_veterinary_association,20,0,23,1,0,0,2,49,68,0
70,http://dev.openwaternet.com/libraries/kaiser_health_network,20,0,31,2,0,0,3,64,96,0
71,http://dev.openwaternet.com/libraries/aaos,20,0,18,1,0,0,2,65,0,0
72,http://dev.openwaternet.com/libraries/map_pharma,20,0,23,1,0,0,3,68,0,0
73,http://dev.openwaternet.com/libraries/actavis,20,0,27,2,0,0,5,68,0,0
74,http://dev.openwaternet.com/libraries/affymax,20,0,23,1,0,0,3,57,0,0
75,http://dev.openwaternet.com/libraries/medical_news_today_healthcare,60,0,108,7,0,0,19,243,313,0
76,http://dev.openwaternet.com/libraries/med_page_today_policy,40,0,52,3,0,0,9,125,171,0
